rotation_rank,scoring_rank,name,projected_mpg,projected_usage_rate,scorer_likelihood,pre_calibration_pts_pg,post_calibration_pts_pg,points_share_delta,projected_usage_share,projected_points_share,usage_share_mean,usage_share_p25,usage_share_p75,points_share_mean,points_share_p25,points_share_p75,points_share_mean_scoring_rank,points_share_p25_scoring_rank,points_share_p75_scoring_rank,usage_share_flag,points_share_flag,points_share_flag_scoring_rank,check_type,metric,projected_value,historical_mean,historical_p25,historical_p75,flag
9.0,9.0,Jasper Johnson,10.355731762202167,18.852560439560442,0.2368394208577718,3.571836198672193,3.520974563756539,-0.0008595760794117349,0.06296337125407582,0.039817707922161036,0.03988458393442838,0.029357930992160865,0.038073917469808226,0.036876102439598726,0.022294732380872928,0.03666916178990603,0.036876102439598726,0.022294732380872928,0.03666916178990603,outside_band,outside_band,outside_band,scoring_rank_detail,,,,,,
10.0,10.0,Jerry Easter II,8.814295964930741,16.236758620689656,0.11589166916853379,3.0053283528400563,2.755110165218207,-0.0027981481539866293,0.04777071842455312,0.028407637329425063,0.036137319526977164,0.027698809574586144,0.03615175052868084,0.03318749348759514,0.020474253608866115,0.033022394595686094,0.03318749348759514,0.020474253608866115,0.033022394595686094,outside_band,within_band,within_band,scoring_rank_detail,,,,,,
11.0,11.0,Seven Spurlock,4.9,12.6,0.06975,1.965385437055027,1.8815433088016396,-0.0009746775832013242,0.027190487197309494,0.018774566836244743,0.019105533982462293,0.010630104658207387,0.02631197395335833,0.01900974150525839,0.012599540682379147,0.02806798073172119,0.01900974150525839,0.012599540682379147,0.02806798073172119,outside_band,within_band,within_band,scoring_rank_detail,,,,,,
12.0,12.0,Kendre Harrison,3.2,13.7,0.07275000000000001,2.351653562213204,2.251333474431311,-0.0005831181933400528,0.0168938627937932,0.011232218410456423,0.013169813082939692,0.010723129021196024,0.013951934761623217,0.008170857618406363,0.0,0.016387164508014997,0.008170857618406363,0.0,0.016387164508014997,outside_band,within_band,within_band,scoring_rank_detail,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,concentration,usage_top1,0.14142452029250088,0.17029796429418476,0.14522401193433326,0.18778653334121487,outside_band
,,,,,,,,,,,,,,,,,,,,,,,concentration,usage_top3,0.42977412656129266,0.4647960126728664,0.4304554225555298,0.4849361326374516,outside_band
,,,,,,,,,,,,,,,,,,,,,,,concentration,usage_top5,0.6237590564401047,0.6872002122993138,0.6683717326563081,0.7085703411360951,outside_band
,,,,,,,,,,,,,,,,,,,,,,,concentration,points_top1,0.17144511960254546,0.17516363799754395,0.13877914454064952,0.20023570256883946,within_band
,,,,,,,,,,,,,,,,,,,,,,,concentration,points_top3,0.5011673995935805,0.4783795198855071,0.4362093287654044,0.5170355898390528,within_band
,,,,,,,,,,,,,,,,,,,,,,,concentration,points_top5,0.7237636977329985,0.7044951508092474,0.6930370378839259,0.7317323405585273,within_band
